SSID,GameID,vader_sentiment_mean,textblob_sentiment_mean,hf_sentiment_mean
781,781,0.726,0.11,-0.01
782,782,0.554,0.068,-0.19
783,783,0.628,0.092,0.091
784,784,0.221,-0.019,-0.475
785,785,0.704,0.019,-0.055
786,786,0.727,0.259,0.742
787,787,0.356,-0.018,-0.247
788,788,0.531,0.101,0.069
789,789,0.731,0.139,0.52
790,790,0.513,0.023,-0.052
791,791,0.252,-0.047,-0.423
792,792,0.496,0.084,0.137
793,793,0.418,0.04,-0.098
794,794,0.0,-0.13,-0.661
795,795,0.569,0.142,0.275
796,796,0.507,0.032,0.263
797,797,0.56,-0.013,-0.32
798,798,-0.089,-0.144,-0.039
799,799,-0.37,-0.291,-0.999
800,800,0.756,0.061,0.176
801,801,0.262,0.003,0.172
802,802,0.065,-0.002,-0.277
803,803,0.39,0.149,0.409
804,804,0.405,0.11,0.295
805,805,0.33,0.082,-0.26
806,806,0.733,0.042,0.007
807,807,-0.079,0.0,-0.028
808,808,-0.088,0.039,0.228
809,809,0.387,0.078,0.164
810,810,0.191,0.045,-0.007
811,811,0.212,0.163,0.002
812,812,0.966,0.157,-0.925
813,813,0.223,0.006,-0.572
814,814,0.391,0.15,-0.015
815,815,0.795,0.247,0.946
816,816,0.315,-0.02,-0.448
817,817,0.268,-0.024,-0.44
818,818,0.229,-0.06,-0.55
